	Train_Accuracy	Test_Accuracy	AUC
0	-1	-1	0.773049645390071
1	-1	-1	0.8779550827423167
2	-1	-1	0.8749635674730399
3	-1	-1	0.8850472813238771
4	-1	-1	0.8300827423167849
5	-1	-1	0.8685514427280676
6	-1	-1	0.8356973995271868
7	-1	-1	0.8644709997085397
8	-1	-1	0.8634751773049645
9	-1	-1	0.7960992907801419
10	-1	-1	0.8539784319440397
11	-1	-1	0.8330378250591016
12	-1	-1	0.8052600472813238
13	-1	-1	0.8423200233168173
14	-1	-1	0.8394054211600116
15	-1	-1	0.9243498817966902
16	-1	-1	0.864066193853428
17	-1	-1	0.8560874704491725
18	-1	-1	0.8525211308656367
19	-1	-1	0.8622931442080378
20	-1	-1	0.8826832151300237
21	-1	-1	0.874113475177305
22	-1	-1	0.8248324103759836
23	-1	-1	0.8904109589041096
24	-1	-1	0.9066193853427896
25	-1	-1	0.9358787525502769
26	-1	-1	0.79225768321513
27	-1	-1	0.8380614657210402
28	-1	-1	0.8679078014184398
29	-1	-1	0.7946217494089834
30	-1	-1	0.8554964539007093
31	-1	-1	0.7972813238770685
32	-1	-1	0.8673167848699763
33	-1	-1	0.8135342789598108
34	-1	-1	0.8426114835324978
35	-1	-1	0.8221040189125296
36	-1	-1	0.8463356973995272
37	-1	-1	0.8277186761229314
38	-1	-1	0.8469267139479905
39	-1	-1	0.8781696298455262
40	-1	-1	0.816671524336928
41	-1	-1	0.8533955115126786
42	-1	-1	0.8219178082191781
43	-1	-1	0.866725768321513
44	-1	-1	0.7851654846335697
45	-1	-1	0.8338676770620811
46	-1	-1	0.8123522458628841
47	-1	-1	0.848404255319149
48	-1	-1	0.8495862884160756
49	-1	-1	0.8484042553191489
50	-1	-1	0.8274231678486997
51	-1	-1	0.8516548463356974
52	-1	-1	0.8583503351792481
53	-1	-1	0.8560874704491725
54	-1	-1	0.8280384727484698
55	-1	-1	0.7958037825059102
56	-1	-1	0.864066193853428
57	-1	-1	0.8714660448848732
58	-1	-1	0.8912529550827424
59	-1	-1	0.87322695035461
60	-1	-1	0.8452346254736228
61	-1	-1	0.8386524822695036
62	-1	-1	0.8179669030732861
63	-1	-1	0.8398345153664302
64	-1	-1	0.9143026004728134
