,XGBoost
36,0.048179872
37,0.029800143
38,0.009814418
39,0.04889365
40,0.0014275517
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.02694504
50,0.014097073
51,0.0
52,0.029443255
53,0.00017844397
54,0.00017844397
55,0.0
56,0.0
57,0.0019628836
58,0.0016059957
59,0.005531763
60,0.0162384
,XGBoost
0,0.041051496
1,0.0221462
2,0.037630536
3,0.03925099
4,0.022326251
5,0.044652503
6,0.0010803025
7,0.0036010083
8,0.0066618654
9,0.0018005042
10,0.023406554
11,0.018905293
12,0.018905293
13,0.036190134
14,0.003060857
15,0.036370184
16,0.016924739
17,0.030788621
18,0.010803025
19,0.03006842
20,0.026827512
21,0.019265395
22,0.01764494
23,0.018725242
24,0.025207058
25,0.025387108
26,0.0127835795
27,0.0045012604
28,0.028628016
29,0.003961109
30,0.012063378
31,0.014944185
32,0.0127835795
33,0.00018005041
34,0.028447965
35,0.06067699
36,0.057976235
37,0.024666907
38,0.013323731
39,0.04753331
40,0.00072020164
41,0.0
42,0.0
43,0.0
44,0.0
45,0.00018005041
46,0.0
47,0.0
48,0.0
49,0.025207058
50,0.01710479
51,0.00036010082
52,0.033129275
53,0.0
54,0.00036010082
55,0.0
56,0.0
57,0.00054015126
58,0.00036010082
59,0.007742168
60,0.01314368
,XGBoost
0,0.044587124
1,0.021758515
2,0.03192438
3,0.037096485
4,0.019796683
5,0.04405208
6,0.0008917425
7,0.006598894
8,0.006598894
9,0.0030319244
10,0.021401819
11,0.020866774
12,0.019796683
13,0.035313003
14,0.0055288034
15,0.02960585
16,0.018726591
17,0.027108971
18,0.0121276975
19,0.041020155
20,0.029962547
21,0.01783485
22,0.017478153
23,0.022650259
24,0.026395576
25,0.0294275
26,0.014089531
27,0.008560727
28,0.022115214
29,0.0032102729
30,0.01533797
31,0.013197788
32,0.008204031
33,0.00017834849
34,0.030319244
35,0.05796326
36,0.050650973
37,0.034777958
38,0.0128410915
39,0.040306758
40,0.00035669698
41,0.00035669698
42,0.0
43,0.0
44,0.0
45,0.00053504546
46,0.0
47,0.0
48,0.0
49,0.02853576
50,0.014446228
51,0.0
52,0.030319244
53,0.0
54,0.00017834849
55,0.0
56,0.0
57,0.0008917425
58,0.0019618333
59,0.0064205457
60,0.012662743
,XGBoost
0,0.04071202
1,0.026260134
2,0.03718717
3,0.03577723
4,0.023264011
5,0.048642933
6,0.0015861826
7,0.0051110326
8,0.005816003
9,0.002467395
10,0.02044413
11,0.015861826
12,0.0211491
13,0.034719773
14,0.0042298203
15,0.033486076
16,0.01973916
17,0.031371165
18,0.018505463
