	Train_Accuracy	Test_Accuracy	AUC
158	81.27	78.33	0.845817545904984
159	83.24	69.75	0.7860520094562647
160	81.64	79.17	0.858350335179248
161	81.84	78.99	0.8717494089834515
162	82.87	72.27	0.7730496453900709
163	82.12	81.51	0.8560874704491725
164	81.38	72.27	0.8218085106382979
165	81.84	80.67	0.8744089834515367
166	82.5	73.95	0.7789598108747045
167	82.87	78.33	0.8577674147478869
168	84.25	73.11	0.8478132387706856
169	83.04	76.67	0.8300786942582338
170	83.71	80.67	0.890661938534279
171	84.36	76.47	0.8708628841607566
172	83.71	81.51	0.9148936170212766
173	82.95	75.0	0.8300786942582338
174	84.54	74.79	0.8315359953366365
175	84.34	80.0	0.8297872340425533
176	83.22	73.33	0.8178373651996502
177	81.1	86.55	0.9326241134751774
178	82.03	79.83	0.7612293144208038
179	83.15	72.27	0.8203309692671394
180	81.19	77.31	0.8330378250591017
181	85.66	73.11	0.7960992907801419
182	83.13	82.5	0.8799183911396095
183	82.59	78.99	0.8386524822695035
184	83.99	80.67	0.8776595744680851
185	84.64	78.99	0.9010047281323876
186	83.04	77.5	0.8446517050422616
187	83.24	73.95	0.822695035460993
188	83.88	77.5	0.850480909355873
189	83.41	80.0	0.8539784319440397
190	82.03	79.83	0.8655437352245863
191	83.43	73.95	0.8286052009456264
192	82.77	78.15	0.8794326241134752
193	82.87	74.79	0.8176713947990544
194	83.33	73.11	0.7893026004728132
195	82.12	78.99	0.8723404255319149
196	83.52	75.63	0.8714539007092198
197	82.68	78.99	0.8693853427895981
198	82.66	72.73	0.8300747556066704
199	80.26	75.63	0.8430851063829787
200	83.05	78.99	0.8475177304964538
201	80.43	75.0	0.8423200233168172
202	81.1	68.07	0.7789598108747045
203	81.19	74.79	0.8156028368794326
204	83.43	76.47	0.824468085106383
205	81.93	78.51	0.8438757906843014
206	80.91	68.07	0.7310874704491725
207	82.39	76.03	0.8257619321449109
208	80.52	76.67	0.8140483823958029
209	81.47	69.75	0.7727541371158393
210	80.26	78.99	0.8770685579196218
211	80.63	78.15	0.8738179669030732
212	82.75	75.21	0.8292121909143186
213	82.29	79.34	0.8824036802760207
214	79.78	76.67	0.8568930341008452
215	81.83	83.47	0.9054054054054054
216	82.92	68.85	0.8014184397163121
217	81.65	78.51	0.8450258769407705
218	82.12	80.51	0.8870242732993706
219	83.35	72.88	0.7704525022475277
220	81.83	77.69	0.852788959171938
221	82.97	70.34	0.8192987713515133
222	82.42	75.21	0.8382978723404255
223	82.84	74.38	0.8335250143760782
224	82.59	75.42	0.8462691039856158
225	81.93	79.66	0.86574767755469
226	81.0	76.92	0.8565349544072949
227	81.66	73.5	0.8419452887537995
228	81.76	74.36	0.7933130699088147
229	80.06	77.78	0.8626139817629179
230	81.47	79.49	0.8462006079027355
231	79.28	75.42	0.8411747078213965
232	78.92	76.92	0.8708206686930091
233	81.93	73.73	0.783937668564579
234	81.19	72.65	0.8328267477203648
235	80.98	73.73	0.781839976026371
236	79.66	82.2	0.8915193287383878
