,GradientBoostingClassifier
32,0.008019028576157041
33,0.0033534261394094133
34,0.053556658023022174
35,0.05187914995487033
36,0.0555444444137044
37,0.039872186652290864
38,0.022110164128902383
39,0.036177239847786945
40,2.4108625108901223e-05
41,0.0002021151081131265
42,0.0
43,7.303627688671697e-05
44,0.0013828351641172122
45,0.000663066199183662
46,0.0011051500202536476
47,0.002564109159021685
48,1.374198682909898e-05
49,0.05596414922299472
50,0.01257634218932663
51,0.0012789227978571847
52,0.04089385769066263
53,0.0008142665376436455
54,0.0025769561113233243
55,0.00016051309424933535
56,0.0004580248967237301
57,0.0027229420628525902
58,0.00035922081118090857
59,0.0017903476007650602
60,0.01749992342145274
,GradientBoostingClassifier
0,0.0454299317361728
1,0.01894641843915238
2,0.0231749060344214
3,0.023202301090177072
4,0.033921605588700596
5,0.02591808944020318
6,0.0009924995469976663
7,0.011979386794475867
8,0.014376526046717481
9,0.008616230277706307
10,0.025360107038809254
11,0.019848285715003133
12,0.022052491685824085
13,0.020087659295683874
14,0.00036289376229292316
15,0.016515148417513986
16,0.019943142822622464
17,0.03320012085240086
18,0.017601331138973293
19,0.023667883219900203
20,0.017339278730584533
21,0.02435438724261933
22,0.02448782652533725
23,0.017544451804487212
24,0.01834047669324729
25,0.01624792123775083
26,0.03209477966584909
27,0.004096925479297313
28,0.008051755443782841
29,0.005930892859803823
30,0.005657848226590733
31,0.010130488596802057
32,0.00863963764598875
33,0.006860235586986445
34,0.05482049716633198
35,0.05131156146492695
36,0.059470547778301575
37,0.04561624940321039
38,0.013255168529860398
39,0.03848914699801358
40,0.0006915068396857424
41,1.902480950366399e-05
42,0.0
43,5.4156423765573685e-05
44,0.002497546944436464
45,1.3367105630501153e-05
46,0.0013424927304927518
47,0.0010753816166375052
48,6.121609944193801e-09
49,0.04962254793182316
50,0.009471776086455126
51,0.001714655885192727
52,0.035708232398745245
53,0.0006074952140078925
54,0.0013157831387056178
55,0.0009606256476651689
56,0.0013351870789679253
57,0.0023852614017804362
58,0.0009390540702559591
59,0.002978630137113391
60,0.019330232394003905
,GradientBoostingClassifier
0,0.030561455156342426
1,0.020673271807729453
2,0.015077097371016075
3,0.02542783024898288
4,0.021614520513628638
5,0.023258256726991156
6,0.004456991594372976
7,0.01131086363173385
8,0.012128390535106174
9,0.005346127330517389
10,0.019900176610846528
11,0.02266250543517192
12,0.0201310117743863
13,0.021808210554848443
14,0.0017395908500568765
15,0.020680774576970325
16,0.017239186670414568
17,0.03791513729417249
18,0.015430668787414979
19,0.01858285263839519
20,0.021857553718064887
21,0.027065459531165976
22,0.019574591970823334
23,0.014283519335647145
24,0.025200482203767086
25,0.026272433509132147
26,0.031974227601233814
27,0.00519598360857448
28,0.011354838321108375
29,0.009427286679130314
30,0.005759511027169566
31,0.00977995008429399
32,0.006542375050814225
33,0.00492732689330521
34,0.05795714256906681
35,0.047397138650302276
36,0.06275800903478239
37,0.04033275314441064
38,0.013100366181913955
39,0.03776275915654157
40,0.0001006107583267212
41,0.00037756000243020625
42,1.069981502058269e-06
43,8.300076832134812e-05
44,0.0027717212024400656
45,0.0015847123954369578
46,0.0012232567263508966
47,0.0002155322529511728
48,0.0005750981836933712
49,0.06701197829938996
50,0.011064789407244039
51,0.0034030455360791077
52,0.039802829053605014
53,0.000853169239624082
54,0.0010502828457312856
55,1.850351383550857e-05
56,0.00010630882157901161
57,0.0017346443750163969
58,0.0009238420639483812
59,0.002636637307982326
60,0.019992778884165216
,GradientBoostingClassifier
0,0.03856001789936119
1,0.022515511931771773
2,0.02612533592260931
3,0.017769407930572717
4,0.025914067901123817
5,0.020986773206193493
6,0.0010968513837710915
7,0.013019242390618978
8,0.011074230085810993
9,0.0070470173145219086
10,0.027774551910095403
11,0.02251935281649294
12,0.018332947165204103
13,0.017039763580959273
14,0.001642307628182493
15,0.02601024316314838
16,0.01997985864450541
17,0.03263645964957265
18,0.02027564137044522
19,0.026554344748606015
20,0.01954441518721438
21,0.025735170410002187
22,0.021706863714823894
23,0.023648257372643523
24,0.024193427710069083
25,0.019789807401627404
26,0.023450850042262668
27,0.005321450281208504
28,0.0063127014946157516
29,0.010836136638242195
30,0.00721469670366303
31,0.009050532428849865
32,0.014970336790648709
33,0.0027421854132659456
34,0.054201476601242575
35,0.04190558764445405
36,0.05342933021487214
37,0.04206101513311691
38,0.013900876462297082
39,0.04108760264493311
40,0.0005114310048533743
41,0.00038899400829030533
42,0.0
43,0.00022598008479183534
44,0.002553869986684015
45,0.0008843742130877327
46,0.000809930588932928
47,0.0001874878370095498
48,6.2501770087459924e-06
49,0.05800833707529716
50,0.010503085703178585
51,0.0008017695075249902
52,0.03766852541401306
53,0.0003807339301824408
54,0.0011322912391135511
55,0.0005424738225115992
56,0.0005466993744737209
57,0.00467106130587283
58,0.0005617671815448957
59,0.0025247111536045095
60,0.01911357945840398
,GradientBoostingClassifier
0,0.045456157960880796
1,0.022055924121898593
2,0.020731661992517976
3,0.027729691267953518
4,0.029064055283359
5,0.02282373458323957
6,0.0011613854461618974
7,0.012117588245446773
8,0.010845613335932766
9,0.005174516804439241
10,0.01953899210697802
11,0.016515905345987455
12,0.020297617361791705
13,0.01856983225975389
14,0.0003137290724949765
15,0.02168804631708541
16,0.022719062392929437
17,0.02932293739516872
18,0.01839834226393635
19,0.022881164839388343
20,0.029070216133506337
21,0.03248998379540869
22,0.019411506388148536
23,0.015614139757828044
24,0.01894331152826789
25,0.020956831168455557
26,0.022997270712631118
27,0.0037534970482735416
28,0.007300645197665847
29,0.006768446254680551
30,0.0074674084712889974
31,0.012509161909149047
32,0.013835767587915796
33,0.002792657714161575
34,0.05611455645007454
35,0.04255283731176876
36,0.0675602660563752
37,0.04481847580485515
38,0.01426062401492459
39,0.03893179060443252
40,2.5659926171821425e-05
41,0.0003184165088706416
42,0.0
43,5.3531691551277146e-05
44,0.0017598057776358597
45,0.001432710670150105
46,0.0005931765616189148
47,0.0024928433637825273
48,0.0007550685729447561
49,0.04990737230378162
50,0.011149851511996423
51,0.0006793459286118865
52,0.03766772060726913
53,0.0006801629842725585
54,0.00243140616331026
55,0.00011601299258636816
56,0.00010007586736349474
57,0.003241607518886075
58,0.00045451880598328337
59,0.0015079622326606603
60,0.01907739770339581
,GradientBoostingClassifier
0,0.03104747155101089
1,0.02140005121371485
2,0.02084139184050656
3,0.021769540785696182
4,0.019651825475247024
5,0.016720007340200273
6,0.0034453879093462644
7,0.009570616044547146
8,0.01101319552079841
9,0.0064694819743387885
10,0.024508527018418772
11,0.01687584915801063
12,0.029135835598781665
13,0.020907424091959198
14,0.0036043204673539466
15,0.023873475073602844
16,0.021325130837798936
17,0.023029257486400053
18,0.021960505078686673
19,0.021087451680553513
20,0.026954637681489254
21,0.021222261228481507
22,0.02307770016521783
23,0.01798180904451702
24,0.016817847608941266
25,0.020549738380145177
26,0.027179033305102053
27,0.004156339639112077
28,0.015437062724581656
29,0.008513563535134088
30,0.006956528488156551
31,0.009360957783450405
32,0.007894909019438852
33,0.003904098426925601
34,0.08363281129432901
35,0.046297567972496706
36,0.0591358480225477
37,0.03983546483692256
38,0.018859907950743614
39,0.03553885951581852
40,0.0008067972519056508
41,0.005510284752226783
42,0.0
43,0.000422659967168801
44,0.0006965630332099286
45,3.795141295711623e-06
46,0.0017800503662761204
47,1.0226015077472513e-05
48,0.0013287568512271523
49,0.0476360524006254
50,0.014455044779832506
51,0.0033160549151989164
52,0.040987980523683014
53,0.0011722976664868968
54,0.0017603063880883587
55,2.1360913483090066e-05
56,0.00012549189361796292
57,0.0026118036791611507
58,0.001038305005048201
59,0.0011837949644869343
60,0.013588680721375855
