,ExtraTreesClassifier
59,0.014408923695296885
60,0.02932957296013494
,ExtraTreesClassifier
0,0.022708082154709847
1,0.014446930820747989
2,0.014831106051937578
3,0.008937152742755415
4,0.016954769716749193
5,0.012182489388109497
6,0.00723807237752747
7,0.008635788970577193
8,0.00980835234028226
9,0.010397312021702606
10,0.014061718490503715
11,0.014158996271283936
12,0.011127083430949713
13,0.010738512471373396
14,0.008294709703149517
15,0.02106939575028065
16,0.012155010974228381
17,0.010039134373542629
18,0.015405754281400034
19,0.016906530898242855
20,0.013924010282145268
21,0.017680424651863296
22,0.014517196347964167
23,0.01760015053763404
24,0.010785435142405297
25,0.01367500711982672
26,0.055872523209059714
27,0.010843633880368521
28,0.008068894261027013
29,0.008846533507470394
30,0.0053705208996724894
31,0.0072223181667426615
32,0.007846397762019074
33,0.01283611698199371
34,0.15851263510472977
35,0.02680414053450852
36,0.017278770976591775
37,0.01031423200389932
38,0.01741419578857865
39,0.008483573121527387
40,0.0073741306337646705
41,0.0036482230178439944
42,0.000446759320819655
43,0.0013566790113383178
44,0.0035344221204492653
45,0.002563771279874222
46,0.004939440037510961
47,0.0034737492080203903
48,0.002168956780112333
49,0.09451461603093561
50,0.015408606118522556
51,0.013828255813205752
52,0.0673623093647137
53,0.006045203650074117
54,0.00215381490061959
55,0.0016625575084604064
56,0.0004432178238837214
57,0.012248643872308864
58,0.006911817554596479
59,0.015060155435473071
60,0.030861057007390766
,ExtraTreesClassifier
0,0.02170510331725628
1,0.015466186012364816
2,0.0143988698108378
3,0.01018599720212696
4,0.020814723732096002
5,0.012701333316555423
6,0.008022572590030802
7,0.008576924064943927
8,0.008942531044617104
9,0.009038276213107653
10,0.01541456661190216
11,0.011467883870924987
12,0.01171970937983667
13,0.013220458151478235
14,0.008097375919894765
15,0.019807543578947248
16,0.013696527371662756
17,0.01226388377087829
18,0.01686099122914064
19,0.0178393508521806
20,0.015338648663146569
21,0.01631685432249685
22,0.015248529830476722
23,0.019673400568097313
24,0.014286712920923627
25,0.01720278681506557
26,0.05248520354643829
27,0.01069607507074025
28,0.009138336737241815
29,0.010061799444348169
30,0.0037749479562440703
31,0.006730777139031863
32,0.006923357903932777
33,0.013128959895534437
34,0.1549893971269225
35,0.029589550294283326
36,0.0193412078968096
37,0.009977666489417203
38,0.01908181969644444
39,0.010498350143632245
40,0.005733907541690428
41,0.003173831487097599
42,0.001162734781310777
43,0.0014878610646876008
44,0.003390113137837747
45,0.002637012817224213
46,0.003997420698419561
47,0.0028439632302208755
48,0.002036823763876961
49,0.0809078339910775
50,0.01406244409747305
51,0.012386002959809543
52,0.06915038909891821
53,0.005864444470024488
54,0.0024349254506362645
55,0.001434277979187137
56,0.0006116888304071246
57,0.012179577025342907
58,0.0065550833810563945
59,0.013564832117046337
60,0.029659641574644492
,ExtraTreesClassifier
0,0.02178995552236028
1,0.014163995687488702
2,0.013969974243763048
3,0.010984653773154874
4,0.019578846418400735
5,0.010741754115484477
6,0.008259613428999491
7,0.00990985378046958
8,0.010371317610237478
9,0.008482729829285522
10,0.014783662889147915
11,0.012968838521748106
12,0.01206911169733208
13,0.013364207886041323
14,0.0064972605323650465
15,0.019183907026112782
16,0.0118747738279534
17,0.012862752266654575
18,0.015277501481417181
19,0.01843686353992317
20,0.014820289028423748
21,0.01647126111829739
22,0.014338152510618797
23,0.017700167789275315
24,0.012207040591554433
25,0.015500381318445436
26,0.057362306438023244
27,0.012582407325179887
28,0.008181408295009254
29,0.01078519477834847
30,0.004634994812797546
31,0.0069288259904628936
32,0.005766069473245745
33,0.014493028562885046
34,0.15376970146717917
35,0.026136481571481195
36,0.017967921145621627
37,0.010754738820835132
38,0.01808910989916028
39,0.011013871590148832
40,0.006603114755570338
41,0.00460987861900577
42,0.0013979768887496739
43,0.0012105282975782676
44,0.0038585448762250268
45,0.0020455344029855745
46,0.004985201326488551
47,0.004285852987578196
48,0.002370055081838102
49,0.07714720650168158
50,0.013931558807563922
51,0.013259665414236786
52,0.06705519517049298
53,0.005347438423370468
54,0.0026831447549405503
55,0.0012079852924693506
56,0.0005989368826871916
57,0.013562314783771788
58,0.008122573481303104
59,0.01764447703163455
60,0.032997889614495055
,ExtraTreesClassifier
0,0.021976337432124307
1,0.014223121254670335
2,0.013938345713883877
3,0.009051011616810024
4,0.01818308850105384
5,0.013028120825330574
6,0.006652564709979191
7,0.009060268361190315
8,0.008712452541965928
9,0.009705698277664675
10,0.01480479009662858
11,0.01227339145621237
12,0.012291850493417173
13,0.011916806412644532
14,0.007283907607101014
15,0.021384582176813757
16,0.013844772738119184
17,0.01387198028451465
18,0.015094434263572052
19,0.015668529834259176
20,0.014804855266751142
21,0.01651133562196396
22,0.015114250539196466
23,0.018825234095759168
24,0.014522263212704752
25,0.015467854229364184
26,0.04922261256019236
27,0.01238419867387723
28,0.009174178317644265
29,0.01028399331835431
30,0.004791370674909276
31,0.0062263608323630485
32,0.0069323602775614975
33,0.013253188914465858
34,0.15096367201401212
35,0.027444784553416104
36,0.023020063827334708
37,0.010952174042936767
38,0.016844559002937923
39,0.009046958440424538
40,0.004769199240471671
41,0.004085525984668888
42,0.0011854551131646
43,0.0015381171834510413
44,0.00454287990530274
45,0.002714526968849807
46,0.006395914870759785
47,0.0034200050668383524
48,0.002659523251652892
49,0.09119600699642548
50,0.013285018699634898
51,0.012958719567493197
52,0.06875288888909441
53,0.006129553606593119
54,0.001975873333471848
55,0.0013681089630027015
56,0.0006234873920230959
57,0.011928321466719965
58,0.008288858661810795
59,0.01380866963373487
60,0.029621022190710774
,ExtraTreesClassifier
0,0.024907149339340445
1,0.013937200323247228
2,0.016310957878958737
3,0.010484445389175019
4,0.01945303872546454
5,0.010593373580864984
6,0.008701025622463837
7,0.008859994972999831
8,0.009932411133931947
9,0.008882787092265235
10,0.013996462998076782
11,0.012033812665683586
12,0.011969827927875897
13,0.012878059623995994
14,0.006930869216244243
15,0.020043543661856962
16,0.012530722570424193
17,0.013825854652258432
18,0.015952456506329746
19,0.016770918564380996
20,0.016166288598287386
21,0.016290807803768216
22,0.01290527771157573
23,0.01575540151432254
24,0.013276502303579392
25,0.01677103379200498
26,0.05769788943563653
27,0.015449120806441199
28,0.008252297825958236
29,0.008442445582707497
30,0.004783758575825981
31,0.0071881684051201475
32,0.006351171009852519
33,0.012943716525408218
34,0.1543744628452509
35,0.023150318318123923
36,0.021891939278604066
37,0.010619411518613096
38,0.02122417426204404
39,0.011120790929426007
40,0.005146375357793561
41,0.003327176469908611
42,0.0008317496323640219
43,0.0012194970626285737
44,0.004159890723670297
45,0.0029271160664600154
46,0.005611556888996152
47,0.0030113518434246693
48,0.002425478902344152
49,0.07665754928927912
50,0.012744000464864444
51,0.011177367107913179
52,0.07170246418419189
53,0.004832382292891411
54,0.0022600490988887783
55,0.0012866496505824921
56,0.0003913346987265629
57,0.012558561861934027
58,0.00793138859444544
59,0.014847741677323787
60,0.03130042864297957
,ExtraTreesClassifier
0,0.014411866689724969
1,0.01315225750977554
2,0.017590581420828654
3,0.009371767859945451
4,0.014788602885508451
5,0.009703824828440528
6,0.007346479709356548
7,0.010775189808300953
8,0.00892384002451946
9,0.00785186647364259
10,0.011645112032123704
11,0.010774251769519317
12,0.015364988738894613
13,0.011453230383608204
14,0.007757765523771073
15,0.01719328131546022
16,0.014915995809931876
17,0.013495427787663845
18,0.0133964170828685
19,0.01530099395203117
