	Train_Accuracy	Test_Accuracy	AUC
0	-1	-1	0.8729314420803782
1	-1	-1	0.8131740017487613
2	-1	-1	0.891548463356974
3	-1	-1	0.7971436898863304
4	-1	-1	0.7949172576832151
5	-1	-1	0.743498817966903
6	-1	-1	0.8900709219858156
7	-1	-1	0.8977541371158393
8	-1	-1	0.8362884160756501
9	-1	-1	0.8251238705916643
10	-1	-1	0.8578605200945627
11	-1	-1	0.8516467502185951
12	-1	-1	0.8519382104342758
13	-1	-1	0.7805304575925386
14	-1	-1	0.8460401891252955
15	-1	-1	0.7860520094562646
16	-1	-1	0.8615563975517342
17	-1	-1	0.8699763593380615
18	-1	-1	0.841016548463357
19	-1	-1	0.8596335697399528
20	-1	-1	0.8383569739952719
21	-1	-1	0.8044301952783445
22	-1	-1	0.8747044917257684
23	-1	-1	0.8628841607565012
24	-1	-1	0.8800236406619385
25	-1	-1	0.7754137115839244
26	-1	-1	0.8560186534538036
27	-1	-1	0.8111702127659575
28	-1	-1	0.8448581560283688
29	-1	-1	0.8099881796690307
30	-1	-1	0.8187117458466919
31	-1	-1	0.8691343631594287
32	-1	-1	0.8631796690307328
33	-1	-1	0.8495862884160756
34	-1	-1	0.7816962984552609
35	-1	-1	0.858451536643026
36	-1	-1	0.8424940898345155
37	-1	-1	0.901595744680851
38	-1	-1	0.8552009456264776
39	-1	-1	0.9018912529550828
40	-1	-1	0.8653453803555814
41	-1	-1	0.8318274555523171
42	-1	-1	0.8268726318857476
43	-1	-1	0.8617021276595744
44	-1	-1	0.8073286052009456
45	-1	-1	0.8868203309692672
46	-1	-1	0.8191489361702128
47	-1	-1	0.9015957446808511
48	-1	-1	0.8489952718676124
49	-1	-1	0.8569739952718676
50	-1	-1	0.8241725768321514
51	-1	-1	0.7727541371158392
52	-1	-1	0.8723404255319148
53	-1	-1	0.8187117458466918
54	-1	-1	0.8082191780821918
55	-1	-1	0.8708628841607565
56	-1	-1	0.890661938534279
57	-1	-1	0.7745271867612293
58	-1	-1	0.8740891868259982
59	-1	-1	0.8589332556106092
60	-1	-1	0.8449431652579422
61	-1	-1	0.8324468085106382
62	-1	-1	0.8321513002364066
63	-1	-1	0.8602245862884161
64	-1	-1	0.8169629845526085
65	-1	-1	0.8256501182033097
66	-1	-1	0.8439716312056738
67	-1	-1	0.8493150684931506
68	-1	-1	0.7683215130023641
69	-1	-1	0.8690898345153664
70	-1	-1	0.8519503546099291
71	-1	-1	0.8501894491401925
72	-1	-1	0.8215130023640662
73	-1	-1	0.8433806146572104
74	-1	-1	0.8791371158392435
75	-1	-1	0.8379481200816089
76	-1	-1	0.842789598108747
77	-1	-1	0.7645001457301078
78	-1	-1	0.8828329932964151
79	-1	-1	0.8430851063829787
80	-1	-1	0.8408627222384145
81	-1	-1	0.7802389973768581
82	-1	-1	0.874113475177305
83	-1	-1	0.8557919621749409
84	-1	-1	0.8138297872340425
85	-1	-1	0.8492907801418439
86	-1	-1	0.8600990964733314
87	-1	-1	0.857565011820331
88	-1	-1	0.8197399527186761
89	-1	-1	0.8703002040221509
90	-1	-1	0.8351063829787235
91	-1	-1	0.8714539007092198
92	-1	-1	0.8389479905437353
93	-1	-1	0.8575650118203311
94	-1	-1	0.793144208037825
95	-1	-1	0.8182624113475178
96	-1	-1	0.8600990964733314
97	-1	-1	0.8590425531914894
98	-1	-1	0.8599290780141844
99	-1	-1	0.8703002040221509
100	-1	-1	0.8723404255319149
101	-1	-1	0.8280141843971631
102	-1	-1	0.8628841607565012
103	-1	-1	0.8020985135529
104	-1	-1	0.8430851063829787
105	-1	-1	0.8552009456264776
106	-1	-1	0.8596335697399526
107	-1	-1	0.7659574468085106
108	-1	-1	0.7890070921985816
109	-1	-1	0.8026004728132388
110	-1	-1	0.8414456426697756
111	-1	-1	0.8992316784869976
112	-1	-1	0.8638880792771786
113	-1	-1	0.8026004728132389
114	-1	-1	0.8614066193853428
115	-1	-1	0.7892742640629555
116	-1	-1	0.7644799054373523
117	-1	-1	0.8522296706499563
118	-1	-1	0.8318274555523171
119	-1	-1	0.8947990543735225
120	-1	-1	0.8581560283687943
121	-1	-1	0.8602245862884161
122	-1	-1	0.8603905566890121
123	-1	-1	0.850177304964539
124	-1	-1	0.8221040189125296
125	-1	-1	0.8643617021276596
126	-1	-1	0.8085106382978723
127	-1	-1	0.8587470449172578
128	-1	-1	0.8481087470449172
129	-1	-1	0.8424940898345153
130	-1	-1	0.8280384727484699
131	-1	-1	0.8909574468085106
132	-1	-1	0.8023899737685807
133	-1	-1	0.8702718676122931
134	-1	-1	0.8552009456264775
135	-1	-1	0.825354609929078
136	-1	-1	0.8825415330807345
137	-1	-1	0.7872340425531915
138	-1	-1	0.79685222967065
139	-1	-1	0.8548528125910813
140	-1	-1	0.8866219761002623
141	-1	-1	0.8812056737588653
142	-1	-1	0.8782505910165485
143	-1	-1	0.9098699763593381
144	-1	-1	0.8628841607565012
145	-1	-1	0.890661938534279
146	-1	-1	0.8676770620810259
147	-1	-1	0.8102836879432623
148	-1	-1	0.8250591016548463
149	-1	-1	0.8424940898345153
150	-1	-1	0.7916666666666666
151	-1	-1	0.8612649373360536
152	-1	-1	0.8690898345153664
153	-1	-1	0.8451536643026005
154	-1	-1	0.8049645390070922
155	-1	-1	0.8664302600472814
156	-1	-1	0.8009326726901779
157	-1	-1	0.8105791962174941
158	-1	-1	0.8764775413711583
159	-1	-1	0.7677304964539007
160	-1	-1	0.8735062663946371
161	-1	-1	0.8857475954532207
162	-1	-1	0.8676122931442081
163	-1	-1	0.8605200945626478
164	-1	-1	0.857565011820331
165	-1	-1	0.8195861264937336
166	-1	-1	0.799645390070922
167	-1	-1	0.816193853427896
168	-1	-1	0.8554964539007093
169	-1	-1	0.8592247158262897
170	-1	-1	0.8141252955082743
171	-1	-1	0.8679078014184397
172	-1	-1	0.8673167848699763
173	-1	-1	0.7801418439716312
174	-1	-1	0.8522458628841608
175	-1	-1	0.866725768321513
176	-1	-1	0.823581560283688
177	-1	-1	0.828621393179831
178	-1	-1	0.8286052009456264
179	-1	-1	0.8385310405129699
180	-1	-1	0.833867677062081
