	Train_Accuracy	Test_Accuracy	AUC
0	-1	-1	0.7857767414747887
1	-1	-1	0.9125295508274232
2	-1	-1	0.845449172576832
3	-1	-1	0.8653453803555814
4	-1	-1	0.8646572104018913
5	-1	-1	0.8492907801418439
6	-1	-1	0.8537234042553191
7	-1	-1	0.9420803782505911
8	-1	-1	0.9070241911979016
9	-1	-1	0.8123522458628841
10	-1	-1	0.8105791962174941
11	-1	-1	0.8421985815602837
12	-1	-1	0.8195861264937336
13	-1	-1	0.8223995271867612
14	-1	-1	0.8262897114543865
15	-1	-1	0.857767414747887
16	-1	-1	0.8642139479905437
17	-1	-1	0.8965721040189125
18	-1	-1	0.8693853427895981
19	-1	-1	0.8581560283687943
20	-1	-1	0.8111702127659575
21	-1	-1	0.8747044917257683
22	-1	-1	0.8809101654846335
23	-1	-1	0.8248324103759838
24	-1	-1	0.8156028368794326
25	-1	-1	0.8443602448265812
26	-1	-1	0.9140070921985816
27	-1	-1	0.8128825415330808
28	-1	-1	0.8402798018070533
29	-1	-1	0.8986406619385343
30	-1	-1	0.8277186761229314
31	-1	-1	0.8694258233751093
32	-1	-1	0.7848699763593381
33	-1	-1	0.8088020985135529
34	-1	-1	0.8897754137115839
35	-1	-1	0.8020094562647754
36	-1	-1	0.8862293144208038
37	-1	-1	0.8002364066193853
38	-1	-1	0.8815011820330969
39	-1	-1	0.8386524822695035
40	-1	-1	0.8347420577091227
41	-1	-1	0.8026814339842612
42	-1	-1	0.8877068557919623
43	-1	-1	0.8847517730496454
44	-1	-1	0.8560874704491725
45	-1	-1	0.8383569739952719
46	-1	-1	0.8489952718676123
47	-1	-1	0.8776595744680851
48	-1	-1	0.8132387706855791
49	-1	-1	0.8655437352245863
50	-1	-1	0.7863596619061498
51	-1	-1	0.826581171670067
52	-1	-1	0.8283096926713949
53	-1	-1	0.8185579196217494
54	-1	-1	0.8545613523754009
55	-1	-1	0.7837365199650248
56	-1	-1	0.9101654846335698
57	-1	-1	0.8099881796690307
58	-1	-1	0.822695035460993
59	-1	-1	0.7755756339259692
60	-1	-1	0.8637706855791962
61	-1	-1	0.8382395802972894
62	-1	-1	0.8283096926713948
63	-1	-1	0.8764208685514427
64	-1	-1	0.8410165484633569
65	-1	-1	0.8117612293144207
66	-1	-1	0.891548463356974
67	-1	-1	0.8333333333333334
68	-1	-1	0.7946217494089834
69	-1	-1	0.8185579196217494
70	-1	-1	0.868259982512387
71	-1	-1	0.8324103759836783
72	-1	-1	0.8900709219858156
73	-1	-1	0.8549054373522459
74	-1	-1	0.863013698630137
75	-1	-1	0.8028959810874705
76	-1	-1	0.8528368794326241
77	-1	-1	0.9038181288254153
78	-1	-1	0.8339243498817966
79	-1	-1	0.7940307328605202
80	-1	-1	0.8581560283687943
81	-1	-1	0.8625886524822695
82	-1	-1	0.8349586288416075
83	-1	-1	0.8373651996502478
84	-1	-1	0.8554357330224425
85	-1	-1	0.8209219858156028
86	-1	-1	0.835401891252955
87	-1	-1	0.8664302600472813
88	-1	-1	0.7292334596327601
89	-1	-1	0.8176713947990544
90	-1	-1	0.8436761229314422
91	-1	-1	0.8898280384727484
92	-1	-1	0.8207519673564558
93	-1	-1	0.7754137115839244
94	-1	-1	0.8888888888888888
95	-1	-1	0.723404255319149
96	-1	-1	0.8696808510638298
97	-1	-1	0.8203309692671394
98	-1	-1	0.8377659574468086
99	-1	-1	0.8605200945626477
100	-1	-1	0.821917808219178
101	-1	-1	0.821917808219178
102	-1	-1	0.7997668318274556
103	-1	-1	0.8977541371158393
104	-1	-1	0.7742316784869976
105	-1	-1	0.8918439716312057
106	-1	-1	0.8487321480617895
107	-1	-1	0.8157971436898863
108	-1	-1	0.7978723404255319
109	-1	-1	0.8761820330969268
110	-1	-1	0.9039598108747046
111	-1	-1	0.8673856018653454
112	-1	-1	0.8232860520094561
113	-1	-1	0.8093971631205674
114	-1	-1	0.828621393179831
115	-1	-1	0.875
116	-1	-1	0.8157971436898863
117	-1	-1	0.8460401891252954
118	-1	-1	0.8408687943262412
119	-1	-1	0.8445626477541371
120	-1	-1	0.8404255319148937
121	-1	-1	0.8608156028368794
122	-1	-1	0.8463356973995272
123	-1	-1	0.8157971436898862
124	-1	-1	0.753841607565012
125	-1	-1	0.9262605654328184
126	-1	-1	0.8622931442080378
127	-1	-1	0.8755910165484634
128	-1	-1	0.8625886524822695
129	-1	-1	0.8513593380614657
130	-1	-1	0.8835697399527187
131	-1	-1	0.8609734771203731
132	-1	-1	0.8994462255902069
133	-1	-1	0.8157505910165485
134	-1	-1	0.8936170212765957
135	-1	-1	0.833628841607565
136	-1	-1	0.8294917257683215
137	-1	-1	0.9113475177304965
138	-1	-1	0.8253546099290779
139	-1	-1	0.8357621684640048
140	-1	-1	0.900709219858156
141	-1	-1	0.7931442080378251
142	-1	-1	0.8216263480034974
143	-1	-1	0.8111702127659575
144	-1	-1	0.8888888888888888
145	-1	-1	0.8484042553191489
146	-1	-1	0.8531323877068557
147	-1	-1	0.8088061465721041
148	-1	-1	0.7548819586126494
149	-1	-1	0.863013698630137
150	-1	-1	0.8330378250591017
151	-1	-1	0.7733451536643026
152	-1	-1	0.8974586288416075
153	-1	-1	0.9198484406878461
154	-1	-1	0.8630136986301371
155	-1	-1	0.8374704491725767
156	-1	-1	0.8410165484633569
157	-1	-1	0.9061498105508599
158	-1	-1	0.8176713947990545
159	-1	-1	0.9004137115839244
160	-1	-1	0.8872048965316235
161	-1	-1	0.8374704491725768
162	-1	-1	0.8909938793354707
163	-1	-1	0.8315602836879432
164	-1	-1	0.83451536643026
165	-1	-1	0.8495862884160756
166	-1	-1	0.9332151300236408
167	-1	-1	0.8291962174940898
168	-1	-1	0.9358787525502769
169	-1	-1	0.8014184397163121
170	-1	-1	0.8274555523171088
171	-1	-1	0.8395390070921985
172	-1	-1	0.8552009456264775
173	-1	-1	0.8348108747044918
174	-1	-1	0.7709810874704491
175	-1	-1	0.9119385342789598
176	-1	-1	0.7854609929078015
177	-1	-1	0.8560186534538036
178	-1	-1	0.8026814339842611
179	-1	-1	0.8744089834515367
180	-1	-1	0.8044301952783445
181	-1	-1	0.8605200945626478
182	-1	-1	0.884160756501182
183	-1	-1	0.8362884160756501
184	-1	-1	0.8289128533955115
185	-1	-1	0.8738179669030733
186	-1	-1	0.7798463356973996
187	-1	-1	0.8525211308656369
188	-1	-1	0.8557271932381231
189	-1	-1	0.8408627222384144
190	-1	-1	0.8540189125295509
191	-1	-1	0.8182624113475176
192	-1	-1	0.8362884160756501
193	-1	-1	0.841903073286052
194	-1	-1	0.8241725768321513
195	-1	-1	0.857565011820331
196	-1	-1	0.8259456264775414
197	-1	-1	0.8885933806146572
198	-1	-1	0.8856382978723404
199	-1	-1	0.8129432624113475
200	-1	-1	0.8588269120184014
201	-1	-1	0.8198775867094141
202	-1	-1	0.8867165037377803
203	-1	-1	0.8044301952783444
204	-1	-1	0.8708628841607565
205	-1	-1	0.8339243498817968
206	-1	-1	0.8312647754137116
207	-1	-1	0.8866219761002624
208	-1	-1	0.8289007092198581
209	-1	-1	0.8430851063829788
210	-1	-1	0.887291546866015
211	-1	-1	0.8234617596319723
212	-1	-1	0.8342198581560284
213	-1	-1	0.817304964539007
214	-1	-1	0.7893026004728133
215	-1	-1	0.8539390454284072
216	-1	-1	0.7488499137435307
217	-1	-1	0.8550891316848763
218	-1	-1	0.8225951453401259
219	-1	-1	0.8714778608395629
220	-1	-1	0.8097093197482769
221	-1	-1	0.7806210465784934
222	-1	-1	0.8987114174408152
223	-1	-1	0.8172010788133054
224	-1	-1	0.8899696048632219
225	-1	-1	0.8492658076116273
226	-1	-1	0.8309859154929577
227	-1	-1	0.8829787234042553
228	-1	-1	0.8507598784194529
229	-1	-1	0.8996960486322189
230	-1	-1	0.8984117470782139
231	-1	-1	0.8624513035660774
232	-1	-1	0.760263709919089
233	-1	-1	0.8085106382978723
234	-1	-1	0.8972644376899697
235	-1	-1	0.8684447108181002
236	-1	-1	0.7836379982019779
237	-1	-1	0.8822295474977525
238	-1	-1	0.7728498651483369
239	-1	-1	0.8951367781155015
240	-1	-1	0.8787234042553191
241	-1	-1	0.8954407294832826
242	-1	-1	0.909199880131855
243	-1	-1	0.8133738601823708
244	-1	-1	0.8303951367781155
245	-1	-1	0.8210967935271201
246	-1	-1	0.8580547112462006
247	-1	-1	0.8370820668693009
248	-1	-1	0.8507598784194529
249	-1	-1	0.8872340425531916
