	Train_Accuracy	Test_Accuracy	AUC
0	-1	-1	0.8377659574468085
1	-1	-1	0.8543144208037825
2	-1	-1	0.8289007092198583
3	-1	-1	0.8670212765957447
4	-1	-1	0.9024822695035462
5	-1	-1	0.8895365782570679
6	-1	-1	0.7910756501182034
7	-1	-1	0.7706208102593995
8	-1	-1	0.8111337802389974
9	-1	-1	0.8197399527186761
10	-1	-1	0.79685222967065
11	-1	-1	0.8589332556106092
12	-1	-1	0.8528125910813174
13	-1	-1	0.8416075650118203
14	-1	-1	0.8472222222222222
15	-1	-1	0.8812056737588653
16	-1	-1	0.8770685579196218
17	-1	-1	0.8367822792188867
18	-1	-1	0.8111702127659575
19	-1	-1	0.8684988179669031
20	-1	-1	0.8605200945626478
21	-1	-1	0.8383569739952719
22	-1	-1	0.9072104018912529
23	-1	-1	0.8543144208037825
24	-1	-1	0.863013698630137
25	-1	-1	0.8641795394928593
26	-1	-1	0.8516548463356974
27	-1	-1	0.8942080378250591
28	-1	-1	0.8294917257683215
29	-1	-1	0.8886621976100263
30	-1	-1	0.8617021276595745
31	-1	-1	0.7958037825059102
32	-1	-1	0.9045508274231678
33	-1	-1	0.8359929078014184
34	-1	-1	0.8356973995271867
35	-1	-1	0.8122996211017197
36	-1	-1	0.816193853427896
37	-1	-1	0.8519503546099291
38	-1	-1	0.8723404255319149
39	-1	-1	0.8382395802972894
40	-1	-1	0.8825415330807345
41	-1	-1	0.8245409501603032
42	-1	-1	0.8123522458628841
43	-1	-1	0.7910230253570388
44	-1	-1	0.9018912529550827
45	-1	-1	0.9178486997635934
46	-1	-1	0.8495862884160756
47	-1	-1	0.8679078014184397
48	-1	-1	0.8735224586288416
49	-1	-1	0.7612293144208038
50	-1	-1	0.8682033096926715
51	-1	-1	0.8927304964539008
52	-1	-1	0.8032643544156224
53	-1	-1	0.8560874704491727
54	-1	-1	0.867612293144208
55	-1	-1	0.828014184397163
56	-1	-1	0.8131740017487612
57	-1	-1	0.799475371611775
58	-1	-1	0.9067327309822208
59	-1	-1	0.8708628841607565
60	-1	-1	0.8528368794326241
61	-1	-1	0.8746721072573594
62	-1	-1	0.8049645390070923
63	-1	-1	0.8218085106382979
64	-1	-1	0.9125295508274232
65	-1	-1	0.7544326241134752
66	-1	-1	0.8469267139479906
